Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
Executive 2 Bedroom @TSE ADDO,Behind trade fair TSE ADDO,Burma Camp,Accra,2,2,20.0 sqft,Ghana cedis,2200,First Property Group Alliance ,13 Jul  2:47 pm,Apartment,It come with a fully fitted kitchen  Fully air-condition  Electric wire fence  Gas cooker  Heat extractor  In built wardrobe  All room ensuite  Enough packing space
Single room for rent @Lower Mc Carthy,Lower Mc Carthy hill,McCarthy Hill,Accra,1,1,50.0 sqm,Ghana cedis,170,Billion Gates Estates ,13 Jul  4:30 pm,Apartment,Single room self contain for rent in Lower MC Carthy hill. Single room is located in an environment  with two universities namely Regent university of science and technology and Jayee University college. Features of single room includes; . Single room . Bathroom ( shared by two tenants ) .  tiled floor . Space available for kitchen. Property is being rented by Billion Gates Estate Agency. Rent advance is for a period of two years. Terms and conditions. 1. Agency registration fee is GH50. 2. Commission payable  is 10%.
Three bedroom at East  legon,,East Legon,Accra,3,3,100.0 sqft,Ghana cedis,5500,R Power Travel & Recruitment ,13 Jul  1:15 pm,Apartment,Executive three bedroom apartments for rent at East Legon ! Each room is master room . Very nice location and comfortable environment!
An executive three bedroom Pokuase Fise,Pokuase Fise,Pokuase,Accra,3,3,100.0 sqm,Ghana cedis,750,City Homes Estate Ltd ,13 Jul 12:32 pm,Apartment,An executive three bedroom for rent at pokuase fise it is a newly built apartment It has tiled inside floor  spacious rooms  sliding windows with burglar proofs  A very big hall and a dinning. polytank and an overhead water tank Spacious car park.POP ceiling..
executive apartments-East Legon,East Legon,East Legon,Accra,2,3,13.0 sqft,Ghana cedis,6450,Adjahli & Sons Properties ,13 Jul 10:54 am,Apartment,A two bedrooms newly built executive apartments at east Legon is being rents. It has a very big compound  with gyms and swimming pool and it's suitable for companies staffs and individuals as well  it's closer to the French school. The actual price is $1500 for unfurnished and $1800 for furnished.
EXECUTIVE 2 BEDROOM -Pokuase,Pokuase Fise,Pokuase,Accra,2,2,100.0 sqm,Ghana cedis,450,City Homes Estate Ltd ,13 Jul 12:14 pm,Apartment,Excutive 2bedroom for rent in a siren environment you have Master bedroom with it's toilet and bath and with visitors toilet and bath as while.A very big kitchen with cabinet and It has tiled inside floor  spacious rooms  sliding windows with burglar proofs  A very big hall and a dinning.
2 bedroom apart. with sky bar,,McCarthy Hill,Accra,2,2,86.0 sqm,Ghana cedis,1100,10 Gig Ventures VERIFIED,10 Jul 10:26 am,Apartment,Located at south west MCarthy hills  Comes with a sky bar for all tenants Pls call let's talk more Come with air conditioners
Executive Apt For Rent East Legon,East Legon Shell Station,East Legon,Accra,3,3,320.0 sqm,Ghana cedis,9000,Eastmidas Properties ,13 Jul 11:39 am,Apartment,An executive 3 bed apt for rent at eastlegon.
Chamber and Hall S/C in Oyarifa,Oyarifa Teiman,Oyarifa,Accra,1,1,150.0 sqm,Ghana cedis,340,T.T. Ansa Homes ,13 Jul 11:20 am,Apartment,A nice chamber and hall self contain is up for  rent in Oyarifa. it has a hall  bedroom  kitchen  toilet and bath  tiled floor  very neat
Chamber/hall s/c in Dakuman Nyamekye,around Nyamekye,Darkuman,Accra,1,1,100.0 sqm,Ghana cedis,500,Bestman Properties ,13 Jul 11:15 am,Apartment,An executive chamber and hall self contained located in a very serene neighborhood . It comes with a very spacious hall and a very big bedroom. All the rooms have been tiled. There is easy access to water and electricity.
