Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
House for rent,Opposite Takoradi International School,Chapel Hill,Sekondi Takoradi,10,6,70*100 sqm,Ghana cedis,4500,Kenneth Appiah Gyamfi ,12 Jul  5:37 pm,House,two flat with 5 bedrooms each (4 master bedrooms) two security post. Car park
2 bedroom house for Spintex,near Coca cola,Spintex,Accra,2,1,100 sqft,Ghana cedis,1200,Thomas Tawiah Properties  ,12 Jul  5:31 pm,House,A beautifully house it is walled and gated compound  have personal meter  toilet and bathroom as well as a kitchen  serene environment
3 bedroom in Lashibi,,Lashibi,Accra,3,2,100 sqft,Ghana cedis,1000,Thomas Tawiah Properties  ,12 Jul  5:28 pm,House,A nice and comfortable house  with own toilet  bathroom and kitchen facilities with nicely tiled floor. Have access to utilities such as water and electricity and a private metre on a walled and gated compound
house for rent  -North Kaneshie,North Kaneshie Tessano area,North Kaneshie,Accra,5,6,100 sqft,Ghana cedis,7200,City Motors Limited VERIFIED,10 Jul  8:50 pm,House,. 5 master bedroom house with air conditioner in each room . Visitors wash room. . 2 living room and dinning area with air conditioner. . Kitchen and store room . Porch . Internet and cable tv connected . With a compound larges enough for 8 cars . 2 separate chamber and hall self contained. . Water reservoir and 3 face meter provided
2 bedroom house in Pokuase,Pokuase,Pokuase,Accra,2,2,100 sqm,Ghana cedis,1500,Richard ,10 Jul 11:22 am,House,Neat 2 bedroom house at Pokuase 2 washrooms Burglar Proof  In a Gated community with good security
3 bedroom in spintex,near Uni bank,Spintex,Accra,3,2,100 sqft,Ghana cedis,1200,Thomas Tawiah Properties  ,12 Jul  5:22 pm,House,Nice 3 bedroom  self compound house with toilet and bathroom. The wash room is neatly tiled.Very spacious compound
Beautiful 2 bedroom house in Spintex,near Rainbow,Spintex,Accra,2,1,100 sqft,Ghana cedis,1000,Thomas Tawiah Properties  ,12 Jul  5:19 pm,House,A comfortable and spacious room with kitchen  neat toilet and bathroom  spacious compound house for rent. It has electricity and there is regular flow of tap water and is very close to road side.
Nice 3 bedroom Hse in spintex,Near Baatsona Total,Spintex,Accra,3,2,100 sqft,Ghana cedis,1500,Thomas Tawiah Properties  ,12 Jul  5:16 pm,House,A beautiful 3 bedroom house its has toilet and bathroom  beautifully tiled kitchen  access to utilities like water and electricity  air conditioned sliding doors and windows
2 bedroom in sakumono,,Tema,Greater Accra,2,1,100 sqft,Ghana cedis,1000,Thomas Tawiah Properties  ,12 Jul  5:01 pm,House,A beautifully tiled house it is walled and gated compound have personal meter  toilet and bathroom as well as a kitchen  serene environment
3 BRM TO LET - OYIBI,EDLORM VILLAS,Oyibi,Greater Accra,3,3,174 sqm,Ghana cedis,1300,UT Properties ,12 Jul  4:59 pm,House,An executive 3 bedroom situate within Edlorm Villas. This property comes all en suite with a guest washroom  built specifically with the family in mind which is demonstrated in its living and dining areas  well kept landscaping with potted plants. KEY FEATURES •	All rooms en suite plus guest washroom •	Fitted ac's •	Fitted fans •	Water storage tanks •	Fitted wardrobes •	Upper terrace
5 Bdrm Hse at North Legon Renting,North Legon,North Legon,Accra,5,5,510 sqm,Ghana cedis,7920,HS Property ,12 Jul  4:54 pm,House,Price: $1 800.00 per month.  5 Bedroom House for Rent at North Legon. Main building - 5 bedroom executive house – 5 bedrooms  with large living room  guest room self-contained  a study and  large dining room  and large kitchen with store; has large garage  etc. 2 bedroom boys’ quarters – detached with own toilet  shower and kitchen. Property has large compound with beautiful landscape  a porch  a balcony  standard wardrobes  air condition in each room  water reservoir  security post  etc. It’s also suitable for commercial purposes. Please call HS Property
Beautiful 3 Bedroom House@oyariba,Oyarifa,Oyarifa,Accra,3,3,70x100 sqft,Ghana cedis,1300,Shelter Mart Property Services ,12 Jul  4:40 pm,House,Newly Built 3 Bedroom House Going for price  for 2 years or 1500gh for 1 year Rooms are all en-suite with large bedrooms and bathrooms Ceramic floor tiles P. O. P. ceiling  Guest washroom  Walled and gate large compounds to take about three or more cars and good landscaping. It has ACs   water reservoir   security fence and car port
3 bedroom in spintex,,Spintex,Accra,3,2,100 sqft,Ghana cedis,2000,Thomas Tawiah Properties  ,12 Jul  4:38 pm,House,A nice and comfortable house  with neat toilet  bathroom and kitchen facilities with nicely tiled floor. Have access to utilities such as water and electricity and a private metre on a walled and gated compound it is open for one year advance.
Executive 5 Bdrm Hse at North Legon,North Legon,North Legon,Accra,5,5,500 sqm,Ghana cedis,7920,HS Property ,12 Jul  4:38 pm,House,Price: $1 800.00 per month.  Executive 5 Bedroom House for Rent at North Legon. Main building - 5 bedroom executive house – 5 bedrooms  with large living room  guest room self-contained  a study and  large dining room  and large kitchen with store; has large garage  etc. 2 bedroom boys’ quarters – detached with own toilet  shower and kitchen. Property has large compound with beautiful landscape  a porch  a balcony  standard wardrobes  air condition in each room  water reservoir  security post  etc. It’s also suitable for commercial use. Please call HS Property
4 Bdrm Townhouse at Airport Renting,Airport,Airport,Accra,4,4,380 sqm,Ghana cedis,19800,HS Property ,12 Jul  4:29 pm,House,Price: $4 500.00 per month.  A 4 Bedroom Townhouse in Airport for rent. The house consists of 4 bedrooms  4 bathrooms  5 toilets  a big living room  a family area  dining area  a big fitted kitchen with store  a porch  1 bedroom boy’s quarters  a garages  etc. It comes with extra installations like  satellite dish  standard wardrobes  air conditions in every room  water heaters  water reservoir  etc. 24/7 security outdoor. Call HS Property
3 Bdrm Townhouse at Roman Ridge,Roman Ridge,Roman Ridge,Accra,3,3,350 sqm,Ghana cedis,15400,HS Property ,12 Jul  4:16 pm,House,4 Bedroom house in Roman Ridge for Rent Price: $4 000.00 3 bedrooms 3 bathrooms  4 toilets  A big living room  A big family area Dining area  A kitchen with store Roof top 1 Servant room A security post with 24/7 security  etc  Other features: satellite dish  air conditions  water reservoir  fitted kitchen  water heaters  a big compound with flowers  etc.  Call HS Property
4 BEDROOM EXEC. HOUSE IN EAST LEGON,East Legon  Accra.,East Legon,Accra,4,5,70/100 sqm,Ghana cedis,6000,Alive Properties , 8 Jul  3:32 pm,House,Executive 4 Bedrooms House for rent in East Legon. All the rooms are ensuite. Air condition in all rooms including living room or hall. Executive and ease stairs  Built-in wardrobes  water heaters  Well fitted kitchen with neat cabinets  Dining area  very classic and ease stairs. beautiful area view and serene environment. It comes with garage and security post. It is self compound and newly built. It is classic and very nice. The price is $1400 negotiable Call for more information.
NEWLY 5 BEDROOM HOUSE IN EAST LEGON,East Legon  Accra.,East Legon,Accra,5,6,80/100 sqm,Ghana cedis,16000,Alive Properties ,12 Jul 10:47 am,House,Very exclusive and executive 5 bedrooms House for rent at East Legon. All the rooms are ensuite. Air conditions including all rooms including living or hall. Well fitted kitchen with gas cooker  neat cabinets and air condition. Neatly tiled floors and P.O.P ceiling. Tiled compound and nice garden. It has boys quarters and security post. It is located in a serene environment with excellent road to the House. It is newly built and self compound. Please call for more information.
Furnish Diplomat 5 BDR for Rent@Est Lgn,East Legon  ,East Legon,Accra,5,6,1000 sqm,Ghana cedis,11043,Top Class Properties ,12 Jul  3:16 pm,House,Experience the best in East Legon: An Executive  Furnished 5 Bedroom House in             East Legon Estates for Rent..  Per month: USD 2 500 or Cedis equivalent (negotiable) Gated compound within gated community Parking space available Guest Washroom All Bedrooms Ensuite DStv Fitted Kitchen with refrigerator  stove  wine cooler  Dishes  etc 3 impressive distinctively themed bedrooms (1 Master Bedroom) Dining Hall Large Living room Illuminated by a fashionable Chandelier 24/7 Reliable security Standby generator Water Available Electricity Available Kindly Contact Topclass Property
4 BEDROOM TO LET @GREDA ESTATE,Greda Estate,Spintex,Accra,4,2,180 sqm,Ghana cedis,1300,Maximo Properties ,12 Jul  3:09 pm,House,4 bedroom house available for rent at Greda Estates of Spintex road. It comes with 4 bedrooms  2 washrooms  a hall and dining  wardrobes  paved compound  tiled floors  fitted kitchen  air conditions  fans  boys quarter and it can be rented either furnished or empty. The size is 180m2 and has water reservoirs.
